Date,SO2,NO2,O3,CO,PM10,PM2.5,AQI,AQI Category,Station code,District,Latitude,Longitude
2017-07-07,0.003,0.03,0.014,0.413,20.542,11.125,50.0,Good,101,Jongno-gu,37.5720164,127.0050075
2017-07-08,0.003,0.024,0.019,0.388,25.625,15.083,188.10749999999996,Very unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-07-09,0.003,0.026,0.022,0.45,25.833,17.083,53.79,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-07-10,0.003,0.028,0.012,0.417,12.5,6.542,46.67,Good,101,Jongno-gu,37.5720164,127.0050075
2017-07-11,0.003,0.029,0.036,0.471,38.333,25.667,75.93,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-07-12,0.003,0.028,0.042,0.492,45.042,31.667,91.4,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-07-13,0.004,0.035,0.039,0.542,44.875,33.292,95.6,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-07-14,0.005,0.037,0.035,0.542,45.208,33.25,95.49,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-07-15,0.003,0.028,0.02,0.404,20.375,12.0,46.67,Good,101,Jongno-gu,37.5720164,127.0050075
2017-07-16,0.003,0.022,0.02,0.358,16.583,9.417,36.67,Good,101,Jongno-gu,37.5720164,127.0050075
2017-07-17,0.004,0.027,0.019,0.371,21.0,11.708,45.0,Good,101,Jongno-gu,37.5720164,127.0050075
2017-07-18,0.004,0.032,0.027,0.446,25.583,16.458,52.69,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-07-19,0.003,0.029,0.045,0.462,35.417,24.333,72.49,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-07-20,0.006,0.037,0.042,0.571,45.833,34.5,98.71,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-07-21,0.006,0.032,0.059,0.529,56.583,45.75,138.25,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-07-22,0.006,0.028,0.043,0.479,54.542,42.75,126.79,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-07-23,0.004,0.025,0.033,0.492,50.083,38.25,109.6,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-07-24,0.003,0.038,0.02,0.654,30.542,21.833,188.10749999999996,Very unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-07-25,0.003,0.023,0.026,0.483,24.208,13.875,46.25,Good,101,Jongno-gu,37.5720164,127.0050075
2017-07-26,0.003,0.024,0.039,0.371,15.167,7.25,57.64,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-07-27,0.003,0.036,0.029,0.429,25.167,14.167,59.45,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-07-28,0.003,0.036,0.012,0.575,28.917,18.708,59.45,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-07-29,0.003,0.02,0.026,0.425,12.75,5.25,43.33,Good,101,Jongno-gu,37.5720164,127.0050075
2017-07-30,0.003,0.018,0.041,0.379,19.208,12.708,59.31,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-07-31,0.003,0.037,0.011,0.529,20.208,12.75,61.14,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-08-01,0.003,0.03,0.026,0.475,18.75,10.667,50.0,Good,101,Jongno-gu,37.5720164,127.0050075
2017-08-02,0.003,0.036,0.044,0.554,32.625,23.417,70.13,Moderate,101,Jongno-gu,37.5720164,127.0050075
